Francisella hispaniensis;2;;
Francisella tularensis subsp. holarctica;2;;
Francisella tularensis subsp. holarctica;2;;
Francisella tularensis subsp. novicida;2;;
Francisella tularensis subsp. tularensis;3;;
Fusobacterium necrophorum subsp. funduliforme;2;;
Fusobacterium necrophorum subsp. necrophorum;2;;
Gardnerella vaginalis;2;;
Haemophilus ducreyi;2;;
Haemophilus influenzae;2;V;
Haemophilus spp.;2;;
Helicobacter pylori;2;;
Helicobacter spp.;2;;
Klebsiella oxytoca;2;;
Klebsiella pneumoniae subsp. ozaenae;2;;
Klebsiella pneumoniae subsp. pneumoniae;2;;
Klebsiella pneumoniae subsp. rhinoscleromatis;2;;
Klebsiella spp.;2;;
Legionella pneumophila subsp. fraseri;2;;
Legionella pneumophila subsp. pascullei;2;;
Legionella pneumophila subsp. pneumophila;2;;
Legionella spp.;2;;
Leptospira interrogans;2;;all serovars
Leptospira interrogans spp.;2;;
Listeria monocytogenes;2;;
Listeria ivanovii subsp. ivanovii;2;;
Listeria invanovii subsp. londoniensis;2;;
Morganella morganii subsp. Morganii;2;;
Proteus morganii;2;;
Morganella morganii subsp. sibonii;2;;
Mycobacterium abscessus subsp. abscessus;2;;
Mycobacterium africanum;3;V;
Mycobacterium avium subsp. Avium;2;;
Mycobacterium avium;2;;
Mycobacterium avium subsp. Paratuberculosis;2;;
Mycobacterium paratuberculosis;2;;
Mycobacterium avium subsp. silvaticum;2;;
Mycobacterium bovis;3;V;
Mycobacterium caprae;3;;
Mycobacterium tuberculosis subsp. caprae;3;;
Mycobacterium chelonae;2;;
Mycobacterium chimaera;2;;
Mycobacterium fortuitum;2;;
Mycobacterium intracellulare;2;;
Mycobacterium kansasii;2;;
Mycobacterium leprae;3;;
Mycobacterium malmoense;2;;
Mycobacterium marinum;2;;
Mycobacterium microti;3 (*1);;
Mycobacterium pinnipedii;3;;
Mycobacterium scrofulaceum;2;;
Mycobacterium simiae;2;;
Mycobacterium szulgai;2;;
Mycobacterium tuberculosis;3;V;
Mycobacterium ulcerans;3 (*1);;
Mycobacterium xenopi;2;;
Mycoplasma hominis;2;;
Mycoplasma pneumoniae;2;;
Mycoplasma spp.;2;;
Neisseria gonorrhoeae;2;;
Neisseria meningitidis;2;V;
Neorickettsia sennetsu;2;;
Rickettsia sennetsu;2;;
Ehrlichia sennetsu;2;;
Nocardia asteroides;2;;
Nocardia brasiliensis;2;;
Nocardia farcinica;2;;
Nocardia nova;2;;
Nocardia otitidiscaviarum;2;;
Nocardia spp.;2;;
Orientia tsutsugamushi;3;;
Rickettsia tsutsugamushi;3;;
Pasteurella multocida subsp. Gallicida;2;;
Pasteurella gallicida;2;;
Pasteurella multocida subsp. multocida;2;;
Pasteurella multocida subsp. septica;2;;
Pasteurella spp.;2;;
Peptostreptococcus anaerobius;2;;
Plesiomonas shigelloides;2;;
Porphyromonas spp.;2;;
Prevotella spp.;2;;
Proteus mirabilis;2;;
Proteus penneri;2;;
Proteus vulgaris;2;;
Providencia alcalifaciens;2;;
Proteus inconstans;2;;
Providencia rettgeri;2;;
Proteus rettgeri;2;;
Providencia spp.;2;;
Pseudomonas aeruginosa;2;T;
Rhodococcus hoagii;2;;
Corynebacterium equii;2;;
Rickettsia africae;3;;
Rickettsia akari;3 (*1);;
Rickettsia australis;3;;
Rickettsia canadensis;2;;
Rickettsia conorii;3;;
Rickettsia heilongjiangensis;3 (*1);;
Rickettsia japonica;3;;
Rickettsia montanensis;2;;
Rickettsia typhi;3;;
Rickettsia prowazekii;3;;
Rickettsia rickettsii;3;;
Rickettsia sibirica;3;;
Rickettsia spp.;2;;
Salmonella enterica subsp. arizonae;2;;
Salmonella choleraesuis subsp. arizonae;2;;
Salmonella Enteritidis;2;;
Salmonella Paratyphi;2;V;A, B, C
Salmonella Typhi;3 (*1);V;
Salmonella Typhimurium;2;;
Salmonella;2;;autres variétés sérologiques
Shigella boydii;2;;
Shigella dysenteriae;3 (*1);T;Type 1
Shigella dysenteriae;2;;autre que le Type 1
Shigella flexneri;2;;
Shigella sonnei;2;;
Staphylococcus aureus;2;T;
Streptobacillus moniliformis;2;;
Streptococcus agalactiae;2;;
Streptococcus dysgalactiae subsp. equisimilis;2;;
Streptococcus pneumoniae;2;T, V;
Streptococcus pyogenes;2;T;
Streptococcus suis;2;;
Streptococcus spp.;2;;
Treponema carateum;2;;
Treponema pallidum;2;;
Treponema pertenue;2;;
Treponema spp.;2;;
Trueperella pyogenes;2;;
Ureaplasma parvum;2;;
Ureaplasma urealyticum;2;;
Vibrio cholerae;2;T, V;y inclus El Tor
Vibrio parahaemolyticus;2;;
Benecka parahaemolytica;2;;
Vibrio spp.;2;;
Yersinia enterocolitica subsp. enterolitica;2;;
Yersinia enterocolitica subsp. palearctica;2;;
Yersinia pestis;3;;
Yersinia pseudotuberculosis;2;;
Yersinia spp.;2;;
