CIP 110276;WDCM
CIP 110279;WDCM
CIP 110280;WDCM
CIP 58.58;WDCM
CIP 110278;WDCM
CIP 110069;WDCM
CIP 82.48T;WDCM
CIP 104222;WDCM
CIP 82.49T;WDCM
CIP 110044;WDCM
CIP 103429;WDCM
CIP 81.55T;WDCM
CIP 102302;WDCM
CIP 102303T;WDCM
CIP 111241;WDCM
CIP 103355T;WDCM
CIP 111237;WDCM
CIP 75.4T;WDCM
CIP 110270;WDCM
CIP 110054;WDCM
CIP 110055;WDCM
CIP 103778;WDCM
CIP 102260T;WDCM
CIP 76.125T;WDCM
CIP 111053;WDCM
CIP 57.51T;WDCM
CIP 104612;WDCM
CIP 60.86T;WDCM
CIP 106877;WDCM
CIP 106742;WDCM
CIP 106876;WDCM
CIP 106878;WDCM
CIP 103858T;WDCM
CIP 111065;WDCM
CIP 111066;WDCM
CIP 106327;WDCM
CIP 104216;WDCM
CIP 111239;WDCM
CIP 110905;WDCM
CIP 102722T;WDCM
CIP 111242;WDCM
CIP 100750;WDCM
CIP 110856;WDCM
CIP 110856;WDCM
CIP 103581T;WDCM
CIP 103183T;WDCM
CIP 81.42;WDCM
CIP 106945T;WDCM
CIP 80.28T;WDCM
CIP 105265T;WDCM
CIP 64.69T;WDCM
CIP 64.62T;WDCM
CIP 103429;EUCAST
CIP 104340;EUCAST
CIP 103214;EUCAST
CIP 103570;EUCAST
CIP 70.2T;EUCAST
CIP 76.24;EUCAST
CIP 76.110;EUCAST
CIP 102181;EUCAST
CIP 110856;EUCAST
CIP 104676;EUCAST
CIP 104604;EUCAST
CIP 103426T;EUCAST
CIP 64.31T;EUCAST
CIP 77.16T;EUCAST_anaerobes
CIP 103409T;EUCAST_anaerobes
CIP 106043;ECOR
CIP 106047;ECOR
CIP 106038;ECOR
CIP 106036;ECOR
CIP 106039;ECOR
CIP 106057;ECOR
CIP 106040;ECOR
CIP 106035;ECOR
CIP 106031;ECOR
CIP 106051;ECOR
CIP 106016;ECOR
CIP 106017;ECOR
CIP 106018;ECOR
CIP 106014;ECOR
CIP 106021;ECOR
CIP 106015;ECOR
CIP 106028;ECOR
CIP 106005;ECOR
CIP 106053;ECOR
CIP 105997;ECOR
CIP 105992;ECOR
CIP 106007;ECOR
CIP 105989;ECOR
CIP 106033;ECOR
CIP 106002;ECOR
CIP 105999;ECOR
CIP 106042;ECOR
CIP 106044;ECOR
CIP 106048;ECOR
CIP 106026;ECOR
CIP 106045;ECOR
CIP 106010;ECOR
CIP 106024;ECOR
CIP 106011;ECOR
CIP 106054;ECOR
CIP 106009;ECOR
CIP 105991;ECOR
CIP 105990;ECOR
CIP 106012;ECOR
CIP 106001;ECOR
CIP 106046;ECOR
CIP 106027;ECOR
CIP 105996;ECOR
CIP 105995;ECOR
CIP 105998;ECOR
CIP 106050;ECOR
CIP 106023;ECOR
CIP 106055;ECOR
CIP 105994;ECOR
CIP 106000;ECOR
CIP 106003;ECOR
CIP 106056;ECOR
CIP 106037;ECOR
CIP 105986;ECOR
CIP 106029;ECOR
CIP 106049;ECOR
CIP 106022;ECOR
CIP 106034;ECOR
CIP 106032;ECOR
CIP 106013;ECOR
CIP 106020;ECOR
CIP 106004;ECOR
CIP 106041;ECOR
CIP 105987;ECOR
CIP 106025;ECOR
CIP 106019;ECOR
CIP 105988;ECOR
CIP 105993;ECOR
CIP 106030;ECOR
CIP 106006;ECOR
CIP 106052;ECOR
CIP 106008;ECOR
CIP 105642;Colicins
CIP 105644;Colicins
CIP 105662;Colicins
CIP 105663;Colicins
CIP 105637;Colicins
CIP 105638;Colicins
CIP 105639;Colicins
CIP 105640;Colicins
CIP 105641;Colicins
CIP 105643;Colicins
CIP 105645;Colicins
CIP 105646;Colicins
CIP 105647;Colicins
CIP 105648;Colicins
CIP 105649;Colicins
CIP 105650;Colicins
CIP 105651;Colicins
CIP 105652;Colicins
CIP 105653;Colicins
CIP 105654;Colicins
CIP 105655;Colicins
CIP 105656;Colicins
CIP 105657;Colicins
CIP 105658;Colicins
CIP 105660;Colicins
CIP 105664;Colicins
CIP 105665;Colicins
CIP 105666;Colicins
CIP 105667;Colicins
CIP 105668;Colicins
CIP 105669;Colicins
CIP 105670;Colicins
CIP 105671;Colicins
CIP 105672;Colicins
CIP 111653T;KpSC_Taxo
CIP111654T;KpSC_Taxo
CIP111839;KpSC_Taxo
CIP111840;KpSC_Taxo
CIP111841;KpSC_Taxo
CIP111851;KpSC_Taxo
CIP111852;KpSC_Taxo
CIP111853;KpSC_Taxo
CIP111862;KpSC_Taxo
CIP111863;KpSC_Taxo
CIP111864;KpSC_Taxo
CIP111865;KpSC_Taxo
CIP111869;KpSC_Taxo
CIP111870;KpSC_Taxo
CIP111871;KpSC_Taxo
CIP111887;KpSC_Taxo
CIP111888;KpSC_Taxo
CIP111889;KpSC_Taxo
CIP111897;KpSC_Taxo
CIP111898;KpSC_Taxo
CIP 82.91T;KpSC_Taxo
CIP111896;KpSC_Taxo
CIP111918;KpSC_Taxo
CIP111927;KpSC_Taxo
CIP111928;KpSC_Taxo
CIP111929;KpSC_Taxo
CIP111930;KpSC_Taxo
CIP111931;KpSC_Taxo
CIP111932;KpSC_Taxo
CIP111933;KpSC_Taxo
CIP111934;KpSC_Taxo
CIP111936;KpSC_Taxo
CIP111937;KpSC_Taxo
CRBIP28.46;KpSC_Taxo
CRBIP28.76;KpSC_Taxo
